지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
266,2022-01-24,6.8,4.8,2025,10,1236,,,,,,,7.6,50,958,5.5,70,1107,3.2,2738,-1.7,41,1508,55.3,5.5,1010.6,1023.3,2115,1019.1,1,1021.5,10.3,2.7,1100,1.92,9.88,,,,,,7.6,6.1,6.5,1.2,6.4,6.6,6.7,6.3,,,,,,1.8,2.6,,
266,2022-01-25,5.8,4.2,2313,8.1,1219,,,,,,0,4,50,143,3.1,50,146,1.1,920,-1.4,47,1003,60.4,5.6,1010.9,1023.3,1036,1020.3,1609,1021.8,10.3,0,1200,.65,3.05,,,,,,6.4,5.4,5.3,-3.4,5.7,6.1,6.3,6.5,,,,,,.8,1.2,,
266,2022-01-26,5.3,1.2,738,9.7,1357,,,,,,,6.4,290,610,4.2,290,130,2,1722,-4.5,34,1425,50.3,4.4,1012.7,1025.7,1048,1022,131,1023.7,10.3,8.3,1200,2.17,12.71,,,,,,4.3,1.3,5.4,-5,5.3,5.7,5.8,6.1,,,,,,2,2.8,,
266,2022-01-27,4.6,1.1,721,10.9,1559,,,,,,,5.8,290,1822,4.8,290,1835,1.3,1085,-6.3,18,1603,47,3.9,1012,1024.9,948,1020.3,1549,1023,10.4,7.6,1300,2.06,11.82,,,,,,6.5,3.4,6.4,-5,5.7,6.1,6.2,6.3,,,,,,2.1,3,,
266,2022-01-28,3.2,-.5,725,9.6,1416,,,,,,,7.3,290,1507,5.6,290,1530,2,1685,-11.1,16,1417,35.8,2.6,1011.6,1025,843,1020.4,1715,1022.6,10.4,9,1200,2.31,14.36,,,,,,6.1,2.1,5.2,-7.3,4.9,5.4,5.4,6.1,,,,,,2.9,4.1,,
266,2022-01-29,2.6,0,750,8.1,1457,,,,,,,6.2,290,1746,5.2,290,1754,2.1,1851,-13.8,14,1534,29.8,2.2,1009,1022.5,8,1017.4,1609,1020.1,10.4,7.9,1300,1.99,11.79,,,,,,7.3,.8,5,-4.7,4.6,5.2,5.4,6.1,,,,,,2.3,3.3,,
266,2022-01-30,2.4,-1.6,802,8.5,1509,,,,,,,6.1,290,1928,5.3,290,1951,1.6,1407,-14.3,16,1528,29.3,2,1009.3,1023.1,2346,1017.9,1509,1020.3,10.4,7.8,1400,2,11.25,,,,,,4.3,2,4.7,-8.6,4,4.6,4.8,5.8,,,,,,2.2,3.1,,
266,2022-01-31,2.9,-3.1,716,9.8,1432,,,,,,,5.9,290,2050,4.4,290,2053,1.3,1165,-13.2,11,1422,32,2.3,1013,1026,1033,1022.3,1419,1024,10.5,9.3,1200,2.42,14.86,,,,,,1,0,3.8,-11.5,3.5,4.1,4.2,5.2,,,,,,2.6,3.7,,
266,2022-02-01,2.3,0,2315,7.3,1333,,,,,,0,8.7,270,1021,6.5,270,1430,2.9,2539,-5.6,31,1334,56.8,4,1014.6,1028.5,2313,1023.4,407,1025.7,10.5,6.2,1200,2,11.63,,,,,,4.1,1.3,4.1,-5.7,3.8,4.3,4.5,5.3,,,,,,1.9,2.7,,
266,2022-02-02,1.9,-.6,342,7.6,1425,,,,,,,6.5,290,1050,5,290,1841,3,2624,-8.8,24,1558,45.9,3.2,1016,1029.3,1027,1024.7,1530,1027.1,10.5,5.6,1400,1.91,10.66,,,,,,5.5,3.1,3.6,-6.4,3,3.6,3.6,4.8,,,,,,1.9,2.7,,
266,2022-02-03,2.2,-1.4,148,8.1,1508,,,,,,,5.6,270,1526,4.8,290,1914,2.7,2306,-11.7,19,1537,37.1,2.6,1014.4,1027.6,844,1022.8,1703,1025.5,10.6,9.3,1200,2.45,15.22,,,,,,4.1,1.6,4.4,-7.2,3.8,4.3,4.4,4.9,,,,,,2.8,4,,
266,2022-02-04,.7,-2.7,715,6,1302,,,,,,,8.2,290,2106,6.1,290,1437,2.6,2245,-10.7,27,1534,43.4,2.8,1013.3,1025.7,253,1022.5,1508,1024.5,10.6,8.7,1200,2.39,14.48,,,,,,3.8,2.1,3.1,-10.1,3.1,3.9,4.2,4.9,,,,,,2.2,3.1,,
266,2022-02-05,-1.3,-3.6,746,2,1422,,,,,,0,9.7,290,1350,6.7,290,1336,3.7,3236,-10.3,29,1351,52,2.8,1014.5,1027.7,2325,1024.2,138,1025.8,10.6,8.6,1200,2.51,15.17,,,,,,4.9,2.6,3,-6.8,2.5,3.3,3.5,4.7,,,,,,1.9,2.7,,
266,2022-02-06,-.3,-4,649,5.6,1413,,,,,,0,6.9,270,1320,5.3,270,1307,2.6,2230,-8.9,37,1007,52.6,3.2,1017.3,1030.6,842,1026.6,1650,1028.6,10.7,6.8,1300,2.33,13.4,,,,,,3.5,2.3,2.4,-9,2.6,3.3,3.5,4.4,,,,,,1.7,2.4,,
266,2022-02-07,.6,-2.6,401,4.6,1318,,,,,,,4.4,270,2,3.4,270,9,1.1,951,-11.3,31,1254,41.6,2.6,1016,1029.6,1056,1025,1752,1027.2,10.7,.8,1200,1.41,6.73,,,,,,8.9,5.3,1.5,-9.3,1.8,2.6,2.8,4.1,,,,,,1.1,1.5,,
266,2022-02-08,3.2,-1.9,721,9.5,1530,,,,,,,4.6,290,1721,3.5,290,1854,1.1,989,-10.1,24,1547,37.6,2.8,1015.3,1028.1,911,1024.6,1620,1026.3,10.7,9,1300,2.35,14.8,,,,,,3.4,1.1,5.7,-9.5,4.8,4.8,4.7,4.5,,,,,,2.2,3.2,,
266,2022-02-09,5.2,-1.2,723,10.3,1353,,,,,,,2.7,70,1155,2.1,70,1225,.6,512,-5.5,29,1039,46.6,4.1,1013.7,1028.1,857,1021.8,1723,1024.7,10.7,5.9,1200,2.21,11.65,,,,,,5.6,3.1,4.6,-8.4,4.6,5.1,5,5,,,,,,1.7,2.4,,
266,2022-02-10,6.6,3.5,2255,11.6,1357,,,,,,,5.8,290,1831,5.1,270,1342,2,1739,-9,17,1511,33.5,3.1,1010.8,1023.9,2326,1019.4,1450,1021.7,10.8,8.7,1200,2.46,15.42,,,,,,3.6,.9,8.8,-3.6,7.7,7.5,7.4,6.3,,,,,,3,4.3,,
266,2022-02-11,5.9,-.7,711,12.8,1548,,,,,,,2.8,160,1158,2.1,160,1156,.8,691,-9.1,18,1457,35,3.1,1014.4,1027.4,943,1023.5,3,1025.3,10.8,9.3,1200,2.51,15.7,,,,,,3.5,1.5,6.7,-8.9,6,6.4,6.4,6.4,,,,,,2.6,3.7,,
266,2022-02-12,8,2.7,733,13.9,1456,,,,,,,4.5,50,2324,3.5,70,1115,1,883,-6.7,16,1422,36.9,3.8,1013.2,1026,24,1021.7,1522,1024,10.8,8.9,1200,2.49,14.96,,,,,,3.9,3.1,9,-3.9,8,7.9,7.8,7,,,,,,3,4.3,,
266,2022-02-13,9.4,6.6,125,14,1225,,,,,,,6.5,50,957,4.6,50,959,2.3,1952,-2.2,26,1336,45.3,5.2,1009.6,1022.9,22,1017.9,1555,1020.4,10.9,5.5,1200,2.26,11.88,,,,,,8.1,3.6,9.8,2.4,9.5,9.2,9,7.8,,,,,,2.3,3.2,,
266,2022-02-14,7.9,4.9,543,14.3,1350,,,,,,,6,270,2220,4.4,290,2353,1.7,1484,-1.9,25,1935,52,5.4,1009.3,1021.5,803,1017.9,1716,1020.1,10.9,3.7,1200,2.35,10.18,,,,,,5.6,4,8.4,-1.9,8.5,8.7,8.7,8.2,,,,,,2.2,3.1,,
266,2022-02-15,.4,-4,2350,5.1,1,,,,,,,15.5,290,1629,7.1,290,1629,4.4,3832,-8.7,34,1445,51,3.2,1009.1,1022.5,2140,1016.1,1800,1020.2,10.9,7.4,1200,2.61,15.08,,,,,,1.9,0,4.5,-5.2,5.3,6.1,6.5,7.6,,,,,,2,2.9,,
266,2022-02-16,-2.8,-5.5,2244,.9,1355,,,,,,,14,250,1141,7.4,290,1214,3.8,3313,-10.1,44,1233,57.8,2.9,1011.7,1024.2,2351,1020.9,1544,1023,11,8,1200,2.25,14.43,,,,,,5.1,2,1.3,-7.3,2.4,2.9,5.1,6.1,,,,,,1.6,2.3,,
266,2022-02-17,-2.5,-7.4,535,3.7,1535,,,,,,,11.3,320,318,6,290,915,2.9,2540,-16,21,1533,35.8,1.8,1015.5,1029.7,2339,1024,6,1026.8,11,9.9,1200,2.66,16.44,,,,,,3,.1,1.1,-9.9,2.2,2.5,4,4.9,,,,,,2.4,3.4,,
266,2022-02-18,2.4,-4.1,725,8.6,1441,,,,,,,7.9,50,415,4.4,70,237,1.9,1681,-10.3,26,448,39.4,3,1017.9,1032.4,811,1025.5,2354,1029,11,8.9,1200,2.65,16.59,,,,,,5.9,1.3,4.7,-8.5,4,4.1,4.4,4.8,,,,,,2.3,3.2,,
266,2022-02-19,3.8,-.9,2359,8.2,1431,,,,,,,11.9,320,1544,5.8,290,1532,2.5,2125,-5.6,24,1432,52.1,4.1,1011.3,1026,109,1019.4,1618,1022.3,11.1,2.2,1400,2.05,8.59,,,,,,8.5,4,6.5,-1.5,5.6,5.6,5.9,5.8,,,,,,1.8,2.6,,
266,2022-02-20,-1.8,-4.3,717,3.3,1546,,,,,,,14.7,320,705,6.8,290,1020,3.9,3369,-14.2,17,1433,41.4,2.1,1014.4,1028.8,2325,1022.6,435,1025.7,11.1,10.1,1200,2.8,18.6,,,,,,1.6,.9,2.6,-6.9,3.6,4,5.2,5.5,,,,,,2.4,3.4,,
266,2022-02-21,1.3,-5.4,642,8.3,1626,,,,,,,11.9,290,1504,6.7,290,1445,2.6,2253,-8.7,24,1305,51,3.2,1017.6,1031.3,831,1026.2,1625,1028.8,11.1,9.6,1300,2.62,17.46,,,,,,2.1,.4,3.9,-9.5,3.7,3.9,4.7,5.1,,,,,,2.8,4,,
266,2022-02-22,.4,-2.7,709,5.5,1401,,,,,,,13.5,290,1455,5.8,290,1354,3.1,2649,-12.6,19,1131,39.5,2.4,1019.7,1032.8,844,1029.5,1609,1030.9,11.2,9.5,1200,2.72,17.45,,,,,,4.1,.9,3,-6.7,4,4.3,5.2,5.4,,,,,,2.6,3.8,,
266,2022-02-23,-.5,-3.5,625,5.4,1449,,,,,,,11.4,290,2113,6.4,290,2203,3.7,3210,-15,14,1452,34.9,2,1019.5,1033,849,1027.8,1612,1030.8,11.2,7.8,1400,2.48,15.85,,,,,,4.9,2.6,3.9,-5.6,4.1,4.3,5.1,5.4,,,,,,2.9,4.1,,
266,2022-02-24,.7,-6,705,7.8,1529,,,,,,,11.1,290,1705,6.9,290,300,3.3,2811,-11.3,26,1536,40.9,2.6,1018.7,1032.4,842,1027.2,1612,1029.9,11.3,10.2,1200,2.84,18.95,,,,,,0,0,3.9,-10.5,3.8,4,4.8,5.1,,,,,,2.7,3.9,,
266,2022-02-25,4.7,-1.8,324,11.9,1542,,,,,,,10.8,290,1343,5.8,270,1411,2.2,1870,-7.3,21,1305,44.5,3.6,1016.4,1030.3,907,1024.7,1701,1027.4,11.3,10.1,1200,2.77,18.34,,,,,,0,0,5.7,-8.2,5.1,5.3,5.6,5.5,,,,,,2.9,4.2,,
266,2022-02-26,6.9,.5,312,14,1537,,,,,,0,10.5,250,1502,5.8,250,1549,2.7,2354,-1.2,30,1539,60.3,5.6,1009.9,1026.2,1,1016.3,2327,1020.7,11.3,8.8,1200,2.74,17.5,,,,,,2.9,.5,8,-6.2,6.7,6.7,6.5,6.2,,,,,,3.2,4.6,,
266,2022-02-27,7,1.3,635,14.6,1607,,,,,,,14.1,290,42,7.7,290,43,3.1,2692,-10.7,12,1550,29.5,2.7,1011.2,1024.4,2301,1016.5,6,1022.1,11.4,10.3,1200,2.88,19.65,,,,,,0,0,9.3,-4.7,8,8,7.8,7.2,,,,,,4.3,6.1,,
266,2022-02-28,7.8,.1,628,15.3,1359,,,,,,,4.8,340,54,3.1,270,2,1.2,1007,-8.1,16,1252,32.8,3.4,1011,1025.2,911,1018.4,2400,1021.9,11.4,6.8,1100,2.63,14.42,,,,,,5,4.3,8.7,-6.1,8,8,8,7.6,,,,,,2.4,3.5,,
266,2022-03-01,9.4,3.9,2359,16,1336,,,,,,6.9,12.4,290,1352,6.8,290,1419,2.4,2047,3.2,44,1615,67.5,7.9,1003.9,1018.4,1,1011.2,1345,1014.6,11.4,4.7,1300,2.55,11.96,,,,,,5.3,2.8,10.1,1.8,10,10.1,9.5,8.7,,,,,,2.3,3.3,,
266,2022-03-02,5.1,-.7,656,12.4,1603,,,,,,,11.1,290,1923,7.1,290,1951,3.1,2670,-7.9,22,1458,41.8,3.4,1006.7,1019.5,2251,1014.8,1533,1017.6,11.5,10.5,1200,2.98,20.31,,,,,,.9,0,7,-3.8,7.1,7.4,8.2,8.2,,,,,,3.7,5.3,,
266,2022-03-03,7.6,.9,503,14.6,1606,,,,,,,8.4,250,1429,4.7,250,1441,2,1710,-.7,33,1554,57.8,5.8,1008,1021,905,1016.5,1645,1018.8,11.5,10.2,1200,2.88,19.01,,,,,,0,0,8.8,-3.8,7.8,7.9,8.1,8,,,,,,2.9,4.1,,
266,2022-03-04,9.3,4.1,541,15.8,1417,,,,,,,10.5,270,2239,5.7,270,2246,2.1,1772,3,47,1253,66.1,7.6,1004.7,1019.2,126,1011.8,1742,1015.4,11.5,5.4,1200,2.59,13.99,,,,,,5.1,.6,9.4,-.1,9.1,9.1,8.9,8.5,,,,,,2.6,3.8,,
266,2022-03-05,5.8,.9,2354,9.6,1,,,,,,,18,290,1545,9.7,290,1506,4.8,4185,-8.3,17,1410,38.6,3.6,1004.4,1019.8,2216,1011.2,324,1015.2,11.6,10.3,1200,3.03,20.64,,,,,,.9,0,8.9,-2.5,8.9,9.1,9.4,9,,,,,,4.6,6.6,,
266,2022-03-06,4.6,-.8,619,12.1,1548,,,,,,,11.3,270,1442,6.4,270,1355,3.5,3053,-12.4,12,1511,30.8,2.4,1009.6,1022.6,919,1017.9,1631,1020.5,11.6,10.3,1200,3.09,21.31,,,,,,2,0,7.8,-3.9,7.3,7.5,8.2,8.3,,,,,,4.3,6.1,,
266,2022-03-07,6.5,1.3,239,13,1509,,,,,,,5.6,160,1551,3.2,180,1409,1.4,1235,-7.3,22,1315,37.3,3.6,1009.2,1022.4,854,1017.4,1645,1020,11.7,7.9,1300,2.36,16.01,,,,,,5.5,1.5,9.2,-2.3,8.4,8.5,8.8,8.6,,,,,,2.6,3.7,,
266,2022-03-08,8.7,1.4,642,16.8,1433,,,,,,,9.7,230,1445,5,250,1510,1.5,1295,-5.6,19,1403,37,4.1,1007.9,1020.3,842,1016.2,1640,1018.6,11.7,10.4,1200,2.88,19.82,,,,,,1.1,0,10.4,-4.5,9.3,9.3,9.2,8.9,,,,,,3.6,5.1,,
266,2022-03-09,10.1,3.6,713,18.4,1421,,,,,,,5.9,290,148,3.2,320,239,1.4,1186,-4,13,1405,39.3,4.6,1010.9,1023.7,2311,1018.8,1,1021.6,11.7,10.4,1200,2.96,20.04,,,,,,0,0,12.2,-2.3,10.7,10.7,10.3,9.7,,,,,,,,,
266,2022-03-10,10.9,4,701,18.1,1603,,,,,,,7.6,250,1528,4.2,250,1531,1.5,1310,2,26,1627,56.5,7.1,1011,1023.8,926,1019.5,1630,1021.7,11.8,7.7,1000,2.23,16.45,,,,,,5.1,.8,12.6,-1.2,10.6,10.6,10.6,10.2,,,,,,,,,
266,2022-03-11,13.5,8.6,457,19,1312,,,,,,,4.2,250,1526,2.7,250,1532,.9,816,8,52,1207,69.9,10.9,1008,1020.2,907,1016.7,1743,1018.5,11.8,.7,1200,1.71,8.52,,,,,,7.8,5.1,13,3.7,12.2,12.2,11.6,10.8,,,,,,1.5,2.2,,
266,2022-03-12,16.9,12.9,432,23.2,1450,,,,,,,9.1,230,1538,4.9,250,1439,1.9,1600,11.2,43,1536,71.3,13.3,1006.6,1019.5,919,1014.8,2358,1017,11.8,6.8,1200,2.63,17.06,,,,,,5.9,3.8,18.4,9.1,16,15.6,13.8,12.3,,,,,,2.9,4.2,,
266,2022-03-13,14.8,13.8,2354,16.6,1458,,,,,,11.1,6.5,270,1336,3.8,270,1337,1.3,1139,13.7,85,143,93.4,15.7,1002.1,1014.9,33,1010.2,1544,1012.5,11.9,0,1400,.63,2.57,,,,,,9.4,4.1,15.5,11.7,14.6,14.6,14.2,13.3,,,,,,.5,.8,,
266,2022-03-14,11.6,8.9,2357,14,121,,,,,,,13.1,270,2126,5.3,270,1911,2.2,1907,9.8,55,2338,89.5,12.4,1002.1,1015.1,721,1009,1648,1012.7,11.9,0,1600,.59,2.32,,,,,,9.6,5.5,12.4,5.6,13,13.1,13.3,12.8,,,,,,.8,1.2,,
266,2022-03-15,11.2,4.3,640,18.6,1455,,,,,,,6.6,290,23,4.4,290,35,1.7,1477,1.8,28,1642,54,7,1003.4,1016.3,916,1011.8,16,1014,11.9,9.5,1200,3.02,20.48,,,,,,2.8,.5,12.7,1,11.6,11.8,12,11.8,,,,,,3.3,4.7,,
266,2022-03-16,13.5,6.1,550,22.8,1456,,,,,,,4.9,160,1146,3.2,160,1318,1.2,1015,.8,16,1519,45.9,6.5,1005,1017.8,2142,1013.3,1521,1015.5,12,9.4,1200,3.04,20.86,,,,,,2.6,.3,14.9,1.6,13.3,13.2,12.8,12.2,,,,,,3.9,5.6,,
